Movie Names,Ratings
1. The Shawshank Redemption,9.3
2. The Godfather,9.2
3. The Dark Knight,9
4. The Godfather: Part II,9
5. 12 Angry Men,9
6. Schindler's List,9
7. The Lord of the Rings: The Return of the King,9
8. Pulp Fiction,8.9
9. The Lord of the Rings: The Fellowship of the Ring,8.8
"10. Il Buono, Il Brutto, Il Cattivo",8.8
11. Forrest Gump,8.8
12. Fight Club,8.8
13. The Lord of the Rings: The Two Towers,8.8
14. Spider-man: Across the Spider-verse,8.9
15. Inception,8.8
16. Star Wars: Episode V - The Empire Strikes Back,8.7
17. The Matrix,8.7
18. GoodFellas,8.7
19. One Flew Over the Cuckoo's Nest,8.7
20. Se7en,8.6
21. It's a Wonderful Life,8.6
22. Shichinin No Samurai,8.6
23. The Silence of the Lambs,8.6
24. Saving Private Ryan,8.6
25. Interstellar,8.7
26. City of God,8.6
27. Life Is Beautiful,8.6
28. The Green Mile,8.6
29. Star Wars: Episode IV - A New Hope,8.6
30. Terminator 2: Judgment Day,8.6
31. Back to the Future,8.5
32. Spirited Away,8.6
33. The Pianist,8.5
34. Psycho,8.5
35. Parasite,8.5
36. Léon,8.5
37. The Lion King,8.5
38. Gladiator,8.5
39. American History X,8.5
40. The Departed,8.5
41. Whiplash,8.5
42. The Prestige,8.5
43. The Usual Suspects,8.5
44. Casablanca,8.5
45. Grave of the Fireflies,8.5
46. Seppuku,8.6
47. Intouchables,8.5
48. Modern Times,8.5
49. Cinema Paradiso,8.5
50. C'era Una Volta Il West,8.5
51. Rear Window,8.5
52. Alien,8.5
53. City Lights,8.5
54. Apocalypse Now,8.4
55. Memento,8.4
56. Django Unchained,8.4
57. Raiders of the Lost Ark,8.4
58. WALL·E,8.4
59. Das Leben der Anderen,8.4
60. Sunset Blvd.,8.4
61. Paths of Glory,8.4
62. Avengers: Infinity War,8.4
63. The Shining,8.4
64. The Great Dictator,8.4
65. Witness for the Prosecution,8.4
66. Spider-Man: Into the Spider-Verse,8.4
67. Alien 2,8.4
68. American Beauty,8.3
69. The Dark Knight Rises,8.4
70. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
71. Inglourious Basterds,8.3
72. Oldeuboi,8.4
73. Coco,8.4
74. Amadeus,8.4
75. Toy Story,8.3
76. Braveheart,8.3
77. Das Boot,8.4
78. Joker,8.4
79. Avengers: Endgame,8.4
80. Mononoke-hime,8.3
81. Good Will Hunting,8.3
82. Once Upon a Time in America,8.3
83. Kimi No Na Wa.,8.4
84. 3 Idiots,8.4
85. Singin' in the Rain,8.3
86. Tengoku to Jigoku,8.4
87. Requiem for a Dream,8.3
88. Capharnaüm,8.4
89. Toy Story 3,8.3
90. Star Wars: Episode VI - Return of the Jedi,8.3
91. Idi I Smotri,8.4
92. Eternal Sunshine of the Spotless Mind,8.3
93. 2001: A Space Odyssey,8.3
94. Jagten,8.3
95. Reservoir Dogs,8.3
96. Lawrence of Arabia,8.3
97. Ikiru,8.3
98. Citizen Kane,8.3
99. M - Eine Stadt sucht einen Mörder,8.3
100. North by Northwest,8.3
101. The Apartment,8.3
102. Vertigo,8.3
103. Le fabuleux destin d'Amélie Poulain,8.3
104. Double Indemnity,8.3
105. A Clockwork Orange,8.3
106. Full Metal Jacket,8.3
107. Scarface,8.3
108. Hamilton,8.3
109. Incendies,8.3
110. Heat,8.3
111. Up,8.3
112. To Kill a Mockingbird,8.3
113. The Sting,8.3
114. Jodaeiye Nader Az Simin,8.3
115. Indiana Jones and the Last Crusade,8.2
116. Metropolis,8.3
117. Die Hard,8.2
118. L.A. Confidential,8.2
119. Snatch,8.2
120. Ladri Di Biciclette,8.3
121. Taxi Driver,8.2
122. Taare Zameen Par,8.3
123. 1917,8.2
124. Dangal,8.3
125. Der Untergang,8.2
126. Top Gun: Maverick,8.3
127. Per qualche dollaro in più,8.2
128. Batman Begins,8.2
129. The Kid,8.3
130. Some Like It Hot,8.2
131. The Father,8.2
132. The Wolf of Wall Street,8.2
133. Green Book,8.2
134. All About Eve,8.2
135. Judgment at Nuremberg,8.3
136. The Truman Show,8.2
137. Ran,8.2
138. Casino,8.2
139. There Will Be Blood,8.2
140. El Laberinto Del Fauno,8.2
141. Shutter Island,8.2
142. Unforgiven,8.2
143. The Sixth Sense,8.2
144. Jurassic Park,8.2
145. A Beautiful Mind,8.2
146. The Treasure of the Sierra Madre,8.2
147. Yôjinbô,8.2
148. No Country for Old Men,8.2
149. Monty Python and the Holy Grail,8.2
150. Kill Bill: Vol. 1,8.2
151. The Great Escape,8.2
152. The Thing,8.2
153. Rashōmon,8.2
154. Finding Nemo,8.2
155. Spider-Man: No Way Home,8.2
156. The Elephant Man,8.2
157. Chinatown,8.2
158. V for Vendetta,8.2
159. Raging Bull,8.1
160. Gone with the Wind,8.2
161. Dial M for Murder,8.2
162. Hauru No Ugoku Shiro,8.2
"163. Lock, Stock and Two Smoking Barrels",8.1
164. El Secreto De Sus Ojos,8.2
165. Inside Out,8.1
166. Prisoners,8.1
"167. Three Billboards Outside Ebbing, Missouri",8.1
168. Trainspotting,8.1
169. The Bridge on the River Kwai,8.1
170. Fargo,8.1
171. Warrior,8.1
172. Gran Torino,8.1
173. Catch Me If You Can,8.1
174. My Neighbour Totoro,8.1
175. Million Dollar Baby,8.1
176. Bacheha-Ye Aseman,8.2
177. Klaus,8.2
178. Harry Potter and the Deathly Hallows: Part 2,8.1
179. Blade Runner,8.1
180. The Gold Rush,8.1
181. 12 Years a Slave,8.1
182. Before Sunrise,8.1
183. The Grand Budapest Hotel,8.1
184. Ben-Hur,8.1
185. Gone Girl,8.1
186. On the Waterfront,8.1
187. Barry Lyndon,8.1
188. The General,8.1
189. In the Name of the Father,8.1
190. Smultronstället,8.1
191. Hacksaw Ridge,8.1
192. The Deer Hunter,8.1
193. The Third Man,8.1
194. Salinui Chueok,8.1
195. Le Salaire De La Peur,8.2
196. Sherlock Jr.,8.2
197. Relatos Salvajes,8.1
198. Mr. Smith Goes to Washington,8.1
199. Mad Max: Fury Road,8.1
200. Dead Poets Society,8.1
"201. Monsters, Inc.",8.1
202. Mary and Max,8.1
203. How to Train Your Dragon,8.1
204. Jaws,8.1
205. Det Sjunde Inseglet,8.1
206. Room,8.1
207. Tokyo Story,8.2
208. The Big Lebowski,8.1
209. Ford v. Ferrari,8.1
210. La passion de Jeanne d'Arc,8.2
211. Ratatouille,8.1
212. Hotel Rwanda,8.1
213. Rocky,8.1
214. Platoon,8.1
215. Logan,8.1
216. Spotlight,8.1
217. The Terminator,8.1
218. Jai Bhim,8.8
219. Before Sunset,8.1
220. Rush,8.1
221. Network,8.1
222. Stand by Me,8.1
223. The Best Years of Our Lives,8.1
224. Into the Wild,8.1
225. The Wizard of Oz,8.1
226. La haine,8.1
227. The Incredibles,8
228. The Exorcist,8.1
229. Pirates of the Caribbean: The Curse of the Black Pearl,8.1
230. To Be or Not to Be,8.2
231. Groundhog Day,8
232. La battaglia di Algeri,8.1
233. Babam Ve Oglum,8.2
234. The Grapes of Wrath,8.1
235. Hachi: A Dog's Tale,8.1
236. Ah-ga-ssi,8.1
237. Pather Panchali,8.2
238. Amores perros,8.1
239. Rebecca,8.1
240. Cool Hand Luke,8.1
241. The Sound of Music,8.1
242. It Happened One Night,8.1
243. The 400 Blows,8.1
244. Persona,8.1
245. Guardians of the Galaxy Vol. 3,8.1
246. The Iron Giant,8.1
247. The Help,8.1
248. Life of Brian,8
249. Aladdin,8
250. Dances with Wolves,8
